YearWeek,pro_R,pro_D,era,arms_race_index,ari_rolling,Cycle
2008-36,4444435.3462000005,35699496.0911,pre_CU,0.1244957445578066,0.45254572219990413,2008
2008-37,7778725.451300001,36701820.918800004,pre_CU,0.21194385609667274,0.3269837705531679,2008
2008-38,25559066.133,30641080.225100003,pre_CU,0.834143768601963,0.34179363491036774,2008
2008-39,7357865.824000001,62343784.021400005,pre_CU,0.11802084104285929,0.3221510525748254,2008
2008-40,21239378.043700002,26071386.237000003,pre_CU,0.81466239848641,0.4946927160569763,2008
2008-41,19906371.2196,59542028.3388,pre_CU,0.3343247076893449,0.5252879289551443,2008
2008-42,59250426.384100005,54669534.5256,pre_CU,0.9226859258564036,0.5474234682687544,2008
2008-43,35038355.6466,40747434.409,pre_CU,0.859891086513682,0.7328910296364601,2008
2008-44,4183712.2789000003,20747051.6321,pre_CU,0.20165334106687852,0.5796387652815772,2008
2008-12,1658.6933,0.0,post_CU,0.0,0.0,2012
2010-37,680.35,0.0,post_CU,0.0,0.0,2012
2010-40,340.175,0.0,post_CU,0.0,0.0,2012
2010-42,340.175,0.0,post_CU,0.0,0.0,2012
2010-45,680.35,0.0,post_CU,0.0,0.0,2012
2010-47,680.35,0.0,post_CU,0.0,0.0,2012
2010-51,1360.7,0.0,post_CU,0.0,0.0,2012
2010-52,1700.875,0.0,post_CU,0.0,0.0,2012
2011-00,34300.5256,27337.8237,post_CU,0.797008886067915,0.19925222151697874,2012
2011-01,145305.0709,431177.25529999996,post_CU,0.3369961404826448,0.2835012566376399,2012
2011-02,167514.4163,267350.336,post_CU,0.6265726791530944,0.44014442642591356,2012
2011-03,743759.9807,271806.6285,post_CU,0.36544938629823215,0.5315067730004716,2012
2011-04,455018.08,408844.08619999996,post_CU,0.8985227272727272,0.5568852333016747,2012
2011-05,329602.36100000003,336820.87450000003,post_CU,0.9785686872563476,0.7172783699951004,2012
2011-06,209374.99109999998,139871.7958,post_CU,0.6680444262476198,0.7276463067687318,2012
2011-07,650040.4075,268573.6053,post_CU,0.4131644774713486,0.7395750795620109,2012
2011-08,485172.55270000006,437965.7876,post_CU,0.9027010806005142,0.7406196678939576,2012
2011-09,554199.503,696980.4754,post_CU,0.7951435119928469,0.6947633740780823,2012
